loan_id,customer_id,risk_state,remaining_months,within_term_default_prob
LN100029,ANON_75D2CCC29E,Low,3,0.011273906495891599
LN100096,ANON_FDB38D2BA4,Low,59,0.5892210816125598
LN100154,ANON_1F85771E5F,Low,51,0.5364324578189503
LN100432,ANON_0CF97BB611,Low,1,0.0028890378348394
LN100594,ANON_D9EF8EB1E8,Low,3,0.011273906495891599
LN100746,ANON_3F34970CE6,Default,1,0.9972478549457664
LN100769,ANON_3CF09E097C,Low,33,0.3808796118216776
LN100817,ANON_E3AE2DF9E1,Default,1,0.9972478549457664
LN101016,ANON_9EE02B6987,Medium,1,0.0009437919463087
LN101674,ANON_D997F3B8BA,Low,24,0.2790708723281113
LN102051,ANON_FFFEFA0787,Default,3,0.9921026897455488
LN102093,ANON_001575ED52,Low,12,0.11608902902343224
LN102309,ANON_5E2FC5959A,Low,2,0.006286475436421475
LN102650,ANON_0259DF5BEB,High,1,0.2224123182207014
LN102979,ANON_2F187E217E,Low,52,0.5435120106040596
LN103145,ANON_25F31413C9,Default,40,0.9356072914808535
LN103161,ANON_1A74DABC94,Low,3,0.011273906495891599
LN103257,ANON_F16A96E35D,Low,60,0.5952339009814149
LN103367,ANON_F7C63FC7F6,Low,3,0.011273906495891599
LN104180,ANON_BB8DE50A57,Low,3,0.011273906495891599
LN104216,ANON_9A93C66A27,Low,19,0.2144393012428228
LN104409,ANON_57E9163AA2,Low,48,0.5143056888728583
LN104533,ANON_0779AA4072,High,1,0.2224123182207014
LN104544,ANON_F546E3A8B6,Low,47,0.5066238346242291
LN104661,ANON_56A76B19CB,Low,3,0.011273906495891599
LN104830,ANON_0110DAD3DB,Low,3,0.011273906495891599
LN104840,ANON_02FB35B946,Low,60,0.5952339009814149
LN104953,ANON_DAE145227E,Low,30,0.34895518610460524
LN105188,ANON_AE316845F1,Low,45,0.49078166871151935
LN105274,ANON_80D50A0983,Low,12,0.11608902902343224
LN105416,ANON_B3816A5365,Low,2,0.006286475436421475
LN105457,ANON_21FCCB56A3,High,36,0.8151887519173966
LN105845,ANON_1478880AB2,Low,1,0.0028890378348394
LN105891,ANON_0B3ED16866,Low,3,0.011273906495891599
LN105940,ANON_B82B6CC428,Default,2,0.9946150174416826
LN106019,ANON_6EB63DC398,Low,1,0.0028890378348394
LN106020,ANON_C5B3A499E8,Low,42,0.46577249147634125
LN106174,ANON_A4D3B72BF4,Low,3,0.011273906495891599
LN106214,ANON_CFB9E8D2E6,Default,60,0.9192331931093587
LN106664,ANON_A9A4E7018C,Low,1,0.0028890378348394
LN106752,ANON_86E0AAD8DD,Default,25,0.9531125609916942
LN106802,ANON_AA05C3EAA7,Low,18,0.20084227888556092
LN107020,ANON_C4047D2A5B,Default,38,0.9376429946366464
LN107396,ANON_53D583AB0B,Default,3,0.9921026897455488
LN107473,ANON_0FDA01AA79,Low,37,0.4205352137617737
LN107496,ANON_615C94F2D7,Default,42,0.933653055602778
LN107608,ANON_C49CEA6429,Default,16,0.9665383569492352
LN107980,ANON_C82E2E091B,Low,1,0.0028890378348394
LN107989,ANON_781E2A56C1,Default,33,0.9431114387141902
LN108051,ANON_B54C4E4BFC,Low,3,0.011273906495891599
LN108164,ANON_ED3EF60F8F,Low,1,0.0028890378348394
LN108216,ANON_ED140B7571,Default,238,0.9192331931093587
LN108329,ANON_2BCCFA633E,Low,82,0.5952339009814149
LN108332,ANON_37779A828D,Low,1,0.0028890378348394
LN108824,ANON_032C51E5B8,Low,21,0.24098261875278704
LN110186,ANON_216428AD34,Low,55,0.5639038291832629
LN110195,ANON_9DBF2B937F,Default,1,0.9972478549457664
LN110460,ANON_3E9A9F0B4C,Low,3,0.011273906495891599
LN110510,ANON_9100C6256E,Low,2,0.006286475436421475
LN110820,ANON_A21CFB4539,Low,3,0.011273906495891599
LN110863,ANON_62C72F278E,Default,3,0.9921026897455488
LN110975,ANON_3A6335172C,Default,3,0.9921026897455488
LN110994,ANON_F39CF5B91E,Low,3,0.011273906495891599
LN111441,ANON_09C723B1C8,Low,3,0.011273906495891599
LN111808,ANON_B7AF2F4B78,Medium,19,0.393182709050764
LN112498,ANON_A4EE518AE2,Low,1,0.0028890378348394
LN112902,ANON_B84C15334B,Low,33,0.3808796118216776
LN113055,ANON_2A5B7C7BD4,Default,1,0.9972478549457664
LN113075,ANON_B5C9AADB02,Low,31,0.35981221129506036
LN113963,ANON_DC8632B906,Low,2,0.006286475436421475
LN114028,ANON_3E93A6B277,High,1,0.2224123182207014
LN114037,ANON_E679387EAE,Low,3,0.011273906495891599
LN114832,ANON_545DE08770,Default,44,0.931777018554805
LN114901,ANON_2DB2D72329,Default,1,0.9972478549457664
LN114950,ANON_09C752D5CC,Medium,1,0.0009437919463087
LN115603,ANON_37D8395D80,Low,1,0.0028890378348394
LN116173,ANON_133B90EC20,Default,1,0.9972478549457664
LN116345,ANON_045A6E04AB,Low,36,0.410921542526733
LN117068,ANON_F3E30146B3,Medium,60,0.6743060110577099
LN117364,ANON_77DF0F5664,Low,238,0.5952339009814149
LN117459,ANON_EC23D6C0D5,Default,3,0.9921026897455488
LN117490,ANON_CB94550A23,Low,1,0.0028890378348394
LN117711,ANON_6C13F9F6FA,Low,2,0.006286475436421475
LN118516,ANON_0A1A565FAF,Low,2,0.006286475436421475
LN119194,ANON_EA18CFD4FE,Low,29,0.3378776778620316
LN119253,ANON_1534A34526,Default,3,0.9921026897455488
LN119451,ANON_42296959BF,Low,47,0.5066238346242291
LN119576,ANON_1B8913C458,Low,46,0.4987835796745933
LN119604,ANON_E58118728C,Medium,47,0.609727759378423
LN119764,ANON_09D4180E37,Low,1,0.0028890378348394
LN120275,ANON_A79F7BF268,Default,3,0.9921026897455488
LN120381,ANON_4E9A40FD2C,Low,40,0.4482288819192077
LN120482,ANON_1A1172DB2E,High,54,0.8372236752395258
LN120809,ANON_A9725537EE,Low,1,0.0028890378348394
LN120838,ANON_67D98A9F63,Low,1,0.0028890378348394
LN120936,ANON_4AB7BE0B14,Low,54,0.5572448366299143
LN121157,ANON_202E0A39A0,Low,49,0.5218323346133623
LN121239,ANON_971E65324F,Default,2,0.9946150174416826
LN121399,ANON_A9CCBC9986,Default,6,0.98520191696147
LN121449,ANON_C86C07A62C,Default,1,0.9972478549457664
LN121652,ANON_5C5447FFD6,Default,1,0.9972478549457664
LN121852,ANON_016E962B94,Low,34,0.39109761055878345
LN122040,ANON_BB7F0427BF,Low,34,0.39109761055878345
LN122401,ANON_4AC373FB5F,Default,1,0.9972478549457664
LN122436,ANON_3A9E3DF6D5,Default,1,0.9972478549457664
LN123026,ANON_3D333422FE,Low,1,0.0028890378348394
LN123186,ANON_A4FE2DA147,Default,45,0.9308673401717303
LN123581,ANON_CD30C4448C,Default,23,0.9558806942147672
LN123617,ANON_66B3DA679D,Low,1,0.0028890378348394
LN123655,ANON_A809CF927A,Default,1,0.9972478549457664
LN124102,ANON_4B62FBFFF5,Low,1,0.0028890378348394
LN124176,ANON_90EAEFCBB2,Medium,2,0.02639003657589597
LN124231,ANON_344926B8A8,Low,2,0.006286475436421475
LN124341,ANON_FD06C4F8C8,Default,60,0.9192331931093587
LN124496,ANON_F1D4FBF9C6,Default,12,0.9734121430924614
LN124674,ANON_9FCC86362E,Low,13,0.13039470531307032
LN124710,ANON_8D40ED8464,Low,21,0.24098261875278704
LN124751,ANON_0EDA187C0A,Default,4,0.9897035075494226
LN124813,ANON_7E67B9B781,Medium,46,0.6040133642070976
LN124828,ANON_44C2A1405E,Default,35,0.9408568041527632
LN124894,ANON_FCC7597398,Default,60,0.9192331931093587
LN124969,ANON_028613266C,Low,1,0.0028890378348394
LN125057,ANON_D75AB480A8,Default,32,0.9442738007305771
LN125066,ANON_2C4AA295D6,Low,3,0.011273906495891599
LN125076,ANON_64A2C4D7CC,Low,57,0.5768208442155516
LN125280,ANON_29841DBCE2,Default,1,0.9972478549457664
LN125661,ANON_B3CF570B91,High,2,0.3736214703754679
LN125761,ANON_173F40949F,Default,14,0.9698945122522876
LN125780,ANON_20FAD1F50B,Default,1,0.9972478549457664
LN125971,ANON_FCC51517F3,Low,1,0.0028890378348394
LN126124,ANON_F0BF78BA63,Default,12,0.9734121430924614
LN126275,ANON_02FB79A88D,Default,51,0.9257825932056515
LN126385,ANON_47F20C306B,Low,10,0.0878451509882079
LN126435,ANON_43E3F25963,Low,1,0.0028890378348394
LN126463,ANON_CE7809FACB,Low,3,0.011273906495891599
LN127354,ANON_0729D5DCB3,Default,3,0.9921026897455488
LN127554,ANON_39B8081008,Low,2,0.006286475436421475
LN128040,ANON_726F57502C,Default,3,0.9921026897455488
LN128937,ANON_CA0AD717AF,Low,1,0.0028890378348394
LN129376,ANON_F4CD0F70CE,Low,1,0.0028890378348394
LN129460,ANON_EA278A0C00,Default,12,0.9734121430924614
LN129576,ANON_A6EC0833B7,Medium,1,0.0009437919463087
LN129632,ANON_EB17EE6355,Low,3,0.011273906495891599
LN129990,ANON_31698B1CEE,Low,52,0.5435120106040596
LN130040,ANON_D9562E6E8F,Low,56,0.5704282589702666
LN130178,ANON_22E8D9EACF,Low,1,0.0028890378348394
LN130364,ANON_49C41193C1,Default,46,0.9299760463757032
LN131149,ANON_6FF206248A,Low,1,0.0028890378348394
LN131182,ANON_273F9462EC,Default,1,0.9972478549457664
LN131799,ANON_3DE1BB83C1,Medium,2,0.02639003657589597
LN131882,ANON_5B21361C71,Default,3,0.9921026897455488
LN132155,ANON_B1CFEAC503,Low,19,0.2144393012428228
LN132251,ANON_1EBBFB8D93,Low,53,0.5504485073512786
